id,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,scheduled_service,gps_code,local_code,score
3632,large_airport,Los Angeles International Airport,33.94250107,-118.4079971,125,US-CA,Los Angeles,1,KLAX,LAX,1335475
3622,large_airport,John F Kennedy International Airport,40.63980103,-73.77890015,13,US-NY,New York,1,KJFK,JFK,1052075
3754,large_airport,Chicago O'Hare International Airport,41.97859955,-87.90480042,672,US-IL,Chicago,1,KORD,ORD,1503175
3384,large_airport,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,1026,US-GA,Atlanta,1,KATL,ATL,2002475
3878,large_airport,San Francisco International Airport,37.61899948,-122.375,13,US-CA,San Francisco,1,KSFO,SFO,1112475
3521,large_airport,Newark Liberty International Airport,40.69250107,-74.16870117,18,US-NJ,Newark,1,KEWR,EWR,1064475
3631,large_airport,McCarran International Airport,36.08010101,-115.1520004,2181,US-NV,Las Vegas,1,KLAS,LAS,1068475
3488,large_airport,Dallas Fort Worth International Airport,32.89680099,-97.03800201,607,US-TX,Dallas-Fort Worth,1,KDFW,DFW,1203175
3670,large_airport,Orlando International Airport,28.42939949,-81.30899811,96,US-FL,Orlando,1,KMCO,MCO,1044075
3486,large_airport,Denver International Airport,39.86169815,-104.6729965,5431,US-CO,Denver,1,KDEN,DEN,1103275
3685,large_airport,Miami International Airport,25.79319954,-80.29060364,8,US-FL,Miami,1,KMIA,MIA,1073075
3643,large_airport,La Guardia Airport,40.77719879,-73.87259674,21,US-NY,New York,1,KLGA,LGA,1030575
3602,large_airport,Washington Dulles International Airport,38.94449997,-77.45580292,312,US-DC,Washington,1,KIAD,IAD,1023875
3875,large_airport,Seattle Tacoma International Airport,47.44900131,-122.3089981,433,US-WA,Seattle,1,KSEA,SEA,1038675
3772,large_airport,Phoenix Sky Harbor International Airport,33.43429947,-112.012001,1135,US-AZ,Phoenix,1,KPHX,PHX,1060875
3422,large_airport,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,20,US-MA,Boston,1,KBOS,BOS,1035875
3771,large_airport,Philadelphia International Airport,39.87189865,-75.2410965,36,US-PA,Philadelphia,1,KPHL,PHL,1031075
3604,large_airport,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,97,US-TX,Houston,1,KIAH,IAH,1055675
3457,large_airport,Charlotte Douglas International Airport,35.2140007,-80.94309998,748,US-NC,Charlotte,1,KCLT,CLT,1028075
3483,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,US-DC,Washington,1,KDCA,DCA,1016175
3497,large_airport,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,645,US-MI,Detroit,1,KDTW,DTW,1079375
3709,large_airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.88199997,-93.22180176,841,US-MN,Minneapolis,1,KMSP,MSP,1085275
3862,large_airport,San Diego International Airport,32.73360062,-117.1900024,17,US-CA,San Diego,1,KSAN,SAN,1017175
3531,large_airport,Fort Lauderdale Hollywood International Airport,26.07259941,-80.15270233,9,US-FL,Fort Lauderdale,1,KFLL,FLL,1015275
3887,large_airport,Salt Lake City International Airport,40.78839874,-111.9779968,4227,US-UT,Salt Lake City,1,KSLC,SLC,1025075
