Date,Holiday
7/4/2004,1
7/4/2005,1
7/4/2006,1
7/4/2007,1
7/4/2008,1
7/4/2009,1
7/4/2010,1
7/4/2011,1
7/4/2012,1
7/4/2013,1
7/4/2014,1
7/4/2015,1
7/4/2016,1
7/4/2017,1
7/4/2018,1
7/4/2019,1
7/4/2020,1
7/4/2021,1
12/25/2004,1
12/25/2005,1
12/25/2006,1
12/25/2007,1
12/25/2008,1
12/25/2009,1
12/25/2010,1
12/25/2011,1
12/25/2012,1
12/25/2013,1
12/25/2014,1
12/25/2015,1
12/25/2016,1
12/25/2017,1
12/25/2018,1
12/25/2019,1
12/25/2020,1
12/25/2021,1
12/24/2004,1
12/24/2005,1
12/24/2006,1
12/24/2007,1
12/24/2008,1
12/24/2009,1
12/24/2010,1
12/24/2011,1
12/24/2012,1
12/24/2013,1
12/24/2014,1
12/24/2015,1
12/24/2016,1
12/24/2017,1
12/24/2018,1
12/24/2019,1
12/24/2020,1
12/24/2021,1
10/8/2007,1
10/8/2012,1
10/8/2018,1
10/9/2006,1
10/9/2017,1
10/10/2005,1
10/10/2011,1
10/10/2016,1
10/11/2004,1
10/11/2010,1
10/11/2021,1
10/12/2009,1
10/12/2015,1
10/12/2020,1
10/13/2008,1
10/13/2014,1
10/14/2013,1
10/14/2019,1
4/4/2010,1
4/8/2007,1
4/8/2018,1
4/11/2004,1
4/12/2015,1
4/15/2012,1
4/16/2017,1
4/19/2020,1
4/19/2009,1
4/20/2014,1
4/23/2006,1
4/24/2011,1
4/27/2008,1
4/28/2019,1
5/2/2021,1
5/1/2005,1
5/1/2016,1
5/5/2013,1
6/19/2020,1
6/19/2021,1
6/19/2004,1
6/19/2005,1
6/19/2006,1
6/19/2007,1
6/19/2008,1
6/19/2009,1
6/19/2010,1
6/19/2011,1
6/19/2012,1
6/19/2013,1
6/19/2014,1
6/19/2015,1
6/19/2016,1
6/19/2017,1
6/19/2018,1
6/19/2019,1
9/1/2008,1
9/1/2014,1
9/2/2013,1
9/2/2019,1
9/3/2007,1
9/3/2012,1
9/3/2018,1
9/4/2006,1
9/4/2017,1
9/5/2005,1
9/5/2011,1
9/5/2016,1
9/6/2004,1
9/6/2010,1
9/6/2021,1
9/7/2009,1
9/7/2015,1
9/7/2020,1
8/30/2008,1
8/30/2014,1
8/31/2008,1
8/31/2014,1
8/31/2013,1
8/31/2019,1
9/1/2013,1
9/1/2019,1
9/1/2007,1
9/1/2012,1
9/1/2018,1
9/2/2007,1
9/2/2012,1
9/2/2018,1
9/2/2006,1
9/2/2017,1
9/3/2006,1
9/3/2017,1
9/3/2005,1
9/3/2011,1
9/3/2016,1
9/4/2005,1
9/4/2011,1
9/4/2016,1
9/4/2004,1
9/4/2010,1
9/4/2021,1
9/5/2004,1
9/5/2010,1
9/5/2021,1
9/5/2009,1
9/5/2015,1
9/5/2020,1
9/6/2009,1
9/6/2015,1
9/6/2020,1
1/15/2007,1
1/15/2018,1
1/16/2006,1
1/16/2012,1
1/16/2017,1
1/17/2005,1
1/17/2011,1
